Deloris Van Cartier;Tertia Botha
Mutter Oberin, Äbtissin des Klosters;Daniela Dett
Mary Robert, Postulantin;Hanna Kastner
Mary Lazarus;Viktornameia Schubert
Mary Patrick / Michelle;Sanne Mieloo
Curtis Jackson, Unterweltboss;Karsten Kenzel
Eddie Fritzinger, Police Officer;Gernot Romic
TJ, Gefolgsmann von Curtis;Lukas Sandmann
Joey, Gefolgsmann von Curtis;David Arnsperger
Pablo, Gefolgsmann von Curtis;Christian Fröhlich
Monsignore O'Hara;William Mason
Mary Olympia;Silke Braas-Wolter
Mary Honorata;Dawn Bullock
Mary Curata;Susanna Hirschler
Mary Theresa;Anja Karmanski
Mary Passionata;Isabella Prühs
Mary Pieta;Celina dos Santos
Mary Nirvana / Tina;Lynsey Thurgar
Mary vom göttlichen Herzen Jesu;Nina Weiß
Ensemble;Carlo Schiavone
Ensemble;Cedric Lee Bradley
